,county_name,precinct,Ward2,Precinct,candidate,candidate_normalized,party,mode,votes,religious_voting_place,party2
79,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 11,5,11,Hillary Clinton,clinton,democratic,total,1684,0,democratic
80,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 11,5,11,Gary Johnson,johnson,libertarian,total,34,0,other
81,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 11,5,11,Jill Stein,stein,green,total,25,0,other
82,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 11,5,11,Donald Trump,trump,republican,total,199,0,republican
83,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 11,5,11,Emidio Soltysik,soltysik,natural law party,total,0,0,other
84,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 3,2,3,Darrell Castle,castle,us taxpayers,total,1,0,other
85,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 3,2,3,Hillary Clinton,clinton,democratic,total,767,0,democratic
86,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 3,2,3,Gary Johnson,johnson,libertarian,total,22,0,other
87,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 3,2,3,Jill Stein,stein,green,total,4,0,other
88,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 3,2,3,Donald Trump,trump,republican,total,104,0,republican
89,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 3,2,3,Emidio Soltysik,soltysik,natural law party,total,0,0,other
90,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 4,4,4,Darrell Castle,castle,us taxpayers,total,1,0,other
91,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 4,4,4,Hillary Clinton,clinton,democratic,total,1268,0,democratic
92,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 4,4,4,Gary Johnson,johnson,libertarian,total,35,0,other
93,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 4,4,4,Jill Stein,stein,green,total,19,0,other
94,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 4,4,4,Donald Trump,trump,republican,total,182,0,republican
95,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 4,4,4,Emidio Soltysik,soltysik,natural law party,total,0,0,other
96,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 2,3,2,Darrell Castle,castle,us taxpayers,total,0,0,other
97,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 2,3,2,Hillary Clinton,clinton,democratic,total,1104,0,democratic
98,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 2,3,2,Gary Johnson,johnson,libertarian,total,34,0,other
99,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 2,3,2,Jill Stein,stein,green,total,8,0,other
100,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 2,3,2,Donald Trump,trump,republican,total,104,0,republican
101,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 2,3,2,Emidio Soltysik,soltysik,natural law party,total,0,0,other
102,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 1,4,1,Darrell Castle,castle,us taxpayers,total,0,0,other
103,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 1,4,1,Hillary Clinton,clinton,democratic,total,746,0,democratic
104,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 1,4,1,Gary Johnson,johnson,libertarian,total,38,0,other
105,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 1,4,1,Jill Stein,stein,green,total,7,0,other
106,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 1,4,1,Donald Trump,trump,republican,total,92,0,republican
107,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 1,4,1,Emidio Soltysik,soltysik,natural law party,total,1,0,other
108,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 7,2,7,Darrell Castle,castle,us taxpayers,total,0,0,other
109,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 7,2,7,Hillary Clinton,clinton,democratic,total,1220,0,democratic
110,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 7,2,7,Gary Johnson,johnson,libertarian,total,27,0,other
111,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 7,2,7,Jill Stein,stein,green,total,16,0,other
112,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 7,2,7,Donald Trump,trump,republican,total,220,0,republican
113,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 7,2,7,Emidio Soltysik,soltysik,natural law party,total,0,0,other
114,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 1,3,1,Darrell Castle,castle,us taxpayers,total,0,0,other
115,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 1,3,1,Hillary Clinton,clinton,democratic,total,1040,0,democratic
116,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 1,3,1,Gary Johnson,johnson,libertarian,total,26,0,other
117,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 1,3,1,Jill Stein,stein,green,total,10,0,other
118,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 1,3,1,Donald Trump,trump,republican,total,116,0,republican
119,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 1,3,1,Emidio Soltysik,soltysik,natural law party,total,0,0,other
120,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 4,1,4,Darrell Castle,castle,us taxpayers,total,2,1,other
121,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 4,1,4,Hillary Clinton,clinton,democratic,total,587,1,democratic
122,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 4,1,4,Gary Johnson,johnson,libertarian,total,11,1,other
123,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 4,1,4,Jill Stein,stein,green,total,9,1,other
124,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 4,1,4,Donald Trump,trump,republican,total,31,1,republican
125,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 4,1,4,Emidio Soltysik,soltysik,natural law party,total,1,1,other
126,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 8,3,8,Darrell Castle,castle,us taxpayers,total,3,0,other
127,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 8,3,8,Hillary Clinton,clinton,democratic,total,1149,0,democratic
128,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 8,3,8,Gary Johnson,johnson,libertarian,total,29,0,other
129,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 8,3,8,Jill Stein,stein,green,total,21,0,other
130,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 8,3,8,Donald Trump,trump,republican,total,207,0,republican
131,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 8,3,8,Emidio Soltysik,soltysik,natural law party,total,4,0,other
132,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 2,4,2,Darrell Castle,castle,us taxpayers,total,0,0,other
133,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 2,4,2,Hillary Clinton,clinton,democratic,total,525,0,democratic
134,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 2,4,2,Gary Johnson,johnson,libertarian,total,17,0,other
135,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 2,4,2,Jill Stein,stein,green,total,10,0,other
136,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 2,4,2,Donald Trump,trump,republican,total,40,0,republican
137,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 2,4,2,Emidio Soltysik,soltysik,natural law party,total,0,0,other
138,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 5,3,5,Darrell Castle,castle,us taxpayers,total,7,0,other
139,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 5,3,5,Hillary Clinton,clinton,democratic,total,1199,0,democratic
140,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 5,3,5,Gary Johnson,johnson,libertarian,total,20,0,other
141,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 5,3,5,Jill Stein,stein,green,total,32,0,other
142,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 5,3,5,Donald Trump,trump,republican,total,215,0,republican
143,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 5,3,5,Emidio Soltysik,soltysik,natural law party,total,2,0,other
